"batch","batch_label","ivm_bytes","baseline_bytes","family","multiplier"
1,"Batch 1",27387913061,27401455223,"DuckDB",0.999505786758776
2,"Batch 2",29141810141,50745856917,"DuckDB",0.574269741639488
3,"Batch 3",29193085224,74100714359,"DuckDB",0.393964963449159
1,"Batch 1",32640416958,27413065472,"Spark",1.19068832310415
2,"Batch 2",36882955287,46719472369,"Spark",0.789455732626662
3,"Batch 3",38345441307,66024896605,"Spark",0.580772455221022
1,"Batch 1",25965173465,25979715686,"Fabric",0.99944024710756
2,"Batch 2",47885831723,47759594689,"Fabric",1.00264317640931
3,"Batch 3",69861330217,69609816175,"Fabric",1.00361319790542
