"github_run_id","scale_factor","window_pct","batch_2_days","engine","repetition","batch_num","seconds","timing_source","validation","refresh_policy"
"34851747973",100,35,128,"duckdb-openivm",1,2,212.9,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"feldera",1,2,120.1,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"databricks-enzyme",1,2,569.9,"reported_batch_duration_log",FALSE,"AUTO"
"34851747973",100,35,128,"fabric-openivm-jvm-35",1,2,711.4,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"fabric-jvm-35",1,2,828.4,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"spark",2,2,424.4,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"spark-openivm",2,2,848,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"duckdb",2,2,182.8,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"duckdb-openivm",2,2,214.3,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"feldera",2,2,124.7,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"fabric-openivm-jvm-35",2,2,599.4,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,35,128,"fabric-jvm-35",2,2,913.5,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"spark",1,2,467.5,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"spark-openivm",1,2,898.4,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"duckdb",1,2,160,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"duckdb-openivm",1,2,239.2,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"feldera",1,2,184.5,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"databricks-enzyme",1,2,1052.3,"reported_batch_duration_log",FALSE,"AUTO"
"34851747973",100,45,164,"fabric-jvm-35",1,2,758.4,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"fabric-openivm-jvm-35",1,2,731.5,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"spark",2,2,438.4,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"spark-openivm",2,2,851.1,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"duckdb",2,2,159.7,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"duckdb-openivm",2,2,235.9,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"feldera",2,2,180,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"databricks-enzyme",2,2,539.3,"reported_batch_duration_log",FALSE,"AUTO"
"34851747973",100,45,164,"fabric-jvm-35",2,2,916.5,"reported_batch_duration_log",FALSE,"not_applicable"
"34851747973",100,45,164,"fabric-openivm-jvm-35",2,2,707.5,"reported_batch_duration_log",FALSE,"not_applicable"
